TCP,EEBO,VID,STC,Status,Author,Date,Title,Terms,Pages
A00267,99847124,12141,STC 10375; ESTC S111863,Free,"Church of England. Province of York. Archbishop (1570-1576 : Grindal); Grindal, Edmund, 1519?-1583.",1571,"Iniunctions giuen by the most reuerende father in Christ, Edmonde by the prouidence of God, Archbishop of Yorke primate of England, and Metropolitane, in his Metropoliticall visitation of the prouince of Yorke, aswell to the clergie, as to the laytie of the same prouince. Anno do. 1571.; Visitation articles. 1571","Church of England -- Early works to 1800.; Visitations, Ecclesiastical -- England.",46
A00268,99847128,12146,STC 10376; ESTC S111867,Free,"Church of England. Province of York. Archbishop (1576-1588 : Sandys); Sandys, Edwin, 1516?-1588.",1577,"Articles to be enquired off, within the prouince of Yorke, in the Metropoliticall visitation of the most reuerend father in God Edwin Archbishoppe of Yorke, primate of England and Metropolitane. In the .xix. and .xx. yeare, of the raigne of our most gratious souereigne Lady Elizabeth by the grace of God of England, Fraunce and Ireland Queene, defendor of the fayth, &c. 1577. &. 1578.; Visitation articles. 1577-1578","Church of England -- Early works to 1800.; Visitations, Ecclesiastical -- England.",18
A00271,99851846,17138,STC 1038; ESTC S116630,Free,"Verstegan, Richard, ca. 1550-1640.",1589,"The copy of a letter lately vvritten by a Spanishe gentleman, to his freind in England in refutation of sundry calumnies, there falsly bruited, and spred emonge the people. The originall vvhereof vvas vvritten in Spanish, since the authors being in England, vvho by reason of a ship of those that miscaried of the late Armado, vvas taken, and there detained prisoner, vntill his deliuery by ransome. Now newly translated into Englishe, for the benefite of those (of that nation) that vnderstand not the Spanishe tounge.","Great Britain -- History -- Elizabeth, 1558-1603 -- Early works to 1800.",40
A00275,99847131,12149,STC 10389; ESTC S111870,Free,"Whittingham, William, d. 1579, attrib. name.",1566,To my faythfull bretheren now affycted ...,Church vestments -- England -- Early works to 1800.,58
A00277,99847135,12155,STC 10390; ESTC S111875,Free,"Gilby, Anthony, ca. 1510-1585.; Pilkington, James, 1520?-1576.",1566,"To my louynge brethren that is troublyd abowt the popishe aparrell, two short and comfortable epistels. Be ye constant: for the Lorde shall fyght for yow, yowrs in Christ",Church vestments -- England -- Early works to 1800.,58
A00281,99836929,1225,STC 10393; ESTC S101105,Free,"Northampton, Henry Howard, Earl of, 1540-1614.",1574,A defense of the ecclesiasticall regiment in Englande defaced by T. C. in his replie agaynst D. VVhitgifte. Seene and allowed according to the order appoynted in the Queenes Maiesties iniunctions.,"Cartwright, Thomas, 1535-1603. -- Replye to an answere made of M. Doctor Whitgifte -- Controversial literature -- Early works to 1800.; Whitgift, John, 1530?-1604.; Church of England -- Discipline -- Early works to 1800.",200
A00283,99847149,12169,STC 10395; ESTC S111889,Free,"Fenner, Dudley, 1558?-1587, attributed name.; Fulke, William, 1538-1589, attributed name.; Travers, Walter, 1547 or 8-1635, attributed name.",1584,"A briefe and plaine declaration, concerning the desires of all those faithfull ministers, that haue and do seeke for the discipline and reformation of the Church of Englande which may serue for a iust apologie, against the false accusations and slaunders of their aduersaries.",Church of England -- Government -- Early works to 1800.; Reformation -- England -- Early works to 1800.,158
A00285,23031208,26117,STC 10404.7; ESTC S124184,Free,Church of England.,1630,Instructions for the clergie,Church of England -- Clergy.,1
A00287,33143102,28231,STC 10406.5; ESTC S3172,Free,,1621,"The effect of a bill exhibited in Parliament by Sir Francis Englefield, Barronet",England and Wales. -- Court of Chancery -- Cases.; Broadsides -- London (England) -- 17th century.,1
A00289,99835829,54,STC 10406; ESTC R212270,Free,,1640,"A very lively portrayture, of the most reverend arch-bishops, the right reverend bs. of the Church of England set forth in XX. irrefragable positions, concerning their authority, power, and practise, as they onely are our diocesan lord bishops, so grounded upon Scripture, reason, and experience, by evident demonstrative practises, as their troublesome opposites, may cleerely see, how greatly they are deceived in all these. A labour undertaken for the peace of all Gods people, and for a just condemnation of al those, that cause division, and offences, contrary to the doctrine and discipline of Christs Church.","Church of England -- Bishops -- Controversial literature -- Early works to 1800.; Church of England -- History, (17th century) -- Early works to 1800.",65
A00293,99855427,20920,STC 10413; ESTC S120228,Free,"Deloney, Thomas, 1543?-1600, attributed name.",1640,"A most sweet song of an English merchant, borne at Chichester To an excellent new tune.","Ballads, English -- 17th century.",2
A00301,99837460,1781,STC 10423; ESTC S101652,Free,"Epictetus.; Sandford, James.",1567,"The manuell of Epictetus, translated out of Greeke into French, and now into English, conferred with two Latine translations. Herevnto are annexed annotations, and also the apothegs of the same author. By Ia. Sanford; Manual. English","Ethics, Ancient.",96
A00303,99837454,1775,STC 10425; ESTC S101646,Free,"Epictetus.; Cebes, of Thebes, attributed name.; Healey, John, d. 1610.",1610,"Epictetus his manuall. And Cebes his table. Out of the Greeke originall, by Io: Healey; Manual. English","Ethics, Ancient -- Early works to 1800.",178
A00313,24457166,27691,STC 10441.5; ESTC S2657,Free,"Erasmus, Desiderius, d. 1536.; Robertson, Bartholomew, fl. 1620.",1621,Adagia in Latine and English containing five hundred proverbs : very profitable for the vse of those who aspire to further perfection in the Latine tongue.; Adagia. Latin & English. Selections. 1621,Proverbs.,52
A00316,99841226,5790,STC 10443; ESTC S105498,Free,"Erasmus, Desiderius, d. 1536.; Udall, Nicholas, 1505-1556.",1542,"Apophthegmes that is to saie, prompte, quicke, wittie and sentencious saiynges, of certain emperours, kynges, capitaines, philosophiers and oratours, aswell Grekes, as Romaines, bothe veraye pleasaunt [et] profitable to reade, partely for all maner of persones, [et] especially gentlemen. First gathered and compiled in Latine by the ryght famous clerke Maister Erasmus of Roterodame. And now translated into Englyshe by Nicolas Vdall.; Apophthegmata. English",Aphorisms and apothegms.,774
A00320,99837483,1808,STC 10449; ESTC S101675,Free,"Erasmus, Desiderius, d. 1536.",1534,Bellum ErasmiÂ· Translated into englyshe; Adagia. Chil. IV Cent. I. English,War -- Early works to 1800.,81
A00321,23225987,26402,STC 1045.5; ESTC S4124,Free,"I. B.; Bate, John.; Bennet, John, Sir, d. 1627.",1625,"The psalme of mercy, or, A meditation vpon the 51. psalme by a true penitent.",Miserere -- Meditations.,392
A00325,99854394,19813,STC 10450.6; ESTC S119187,Free,"Erasmus, Desiderius, d. 1536.",1519,Familiarium colloquiorum formulae. Et alia quedam per Erasmu[m] recognita; Colloquia. Selections,"Dialogues, Latin (Medieval and modern) -- Early works to 1800.",74
A00327,99841254,5823,STC 10450; ESTC S105526,Free,"Erasmus, Desiderius, d. 1536.; Lesse, Nicholas.",1550,"The censure and iudgement of the famous clark Erasmus of Roterodam: whyther dyuorsemente betwene man and wyfe stondeth with the lawe of God With diuers causes wherfore it is permitted, with the mynde of the olde doctours, wrytten by the said Erasmus in the booke of his Annotations, vpon these wordes of Paule. i. cor, vii. She is delyuered fro[m] the bond of the lawe, let her marry to whom she wyll, translated by Nycolas Lesse.; Annotationes in Novum Testamentum. English. Selections",Divorce -- Early works to 1800.,162
