EEBO,Terms
29733692,Woolen goods industry -- France -- Rouen.
29733692,France -- Commerce -- England.
29733692,Great Britain -- Commerce -- France.
29733692,Broadsides -- London (England) -- 16th century.
99837606,Catholic Church -- Controversial literature.
99837606,Italy
99840185,Aristotle -- Early works to 1800.
99840185,Medicine -- Religious aspects -- Early works to 1800.
99840185,Medicine
99852090,"Huntingdon
99851074,"Bernard
99853162,"Armada
99849883,"Ballads
99847059,Council of Trent (1545-1563) -- Early works to 1800.
99856552,Great Britain -- History -- To 1485 -- Early works to 1800.
99856552,Great Britain -- History -- Tudors
99849909,Medicine -- Early works to 1800.
99849909,Astrology -- Early works to 1800.
99849912,"Traske
99837628,Dialing -- Early works to 1800.
99837330,"Sermons
99849852,India -- Description and travel -- 1498-1761.
99849852,Spain -- Description and travel.
99849852,Ireland -- Description and travel -- To 1700.
99849854,"St. Paul's Cathedral (London
99837648,"Madrigals
99847060,"Part-songs
99836233,"Sermons
99840191,"Joan
99857476,"Part-songs
99852892,Latin language -- Terms and phrases.
99856551,Precedence -- Early works to 1800.
99856551,Orders of knighthood and chivalry -- Early works to 1800.
99856551,Heraldry -- Early works to 1800.
99856551,Europe -- Nobility -- Early works to 1800.
99837687,"Sermons
99837688,Unjust judge (Parable) -- Sermons.
99837688,Sermons
99850302,Devotional exercises -- Early works to 1800.
99855853,"Elton
99856050,"Sweet
99855859,"Smith
99856197,"Montagu
99837681,"Montagu
99837682,"A. C. -- Answer to a pamphlet
99837693,Lord's Supper -- Real presence -- Controversial literature.
99847698,East Asia -- Description and travel -- Early works to 1800.
99837709,"Catiline
99837708,Education of princes -- Early works to 1800.
99837630,Ethics -- Early works to 1800.
99837630,Conduct of life -- Early works to 1900.
99855702,"Buckingham
24473364,Logic -- Early works to 1800.
24473364,Rhetoric -- Early works to 1800.
99852897,"Watson
99853393,Ten Commandments -- Early works to 1800.
99837736,"Theology
99837739,"Cosin
99847829,"Copcot
99848965,Amusements -- Religious aspects -- Early works to 1800.
99852819,Sacraments -- Early works to 1800.
99837813,"Debt
99850024,"Taylor
99841292,Jesuits -- Controversial literature.
23727075,Church of England -- Catechisms -- English.
23727075,Catechisms
99837714,Conduct of life -- Early works to 1900.
99857108,Love -- Early works to 1800.
99841303,"James -- I
99837759,"Alabaster
99837761,Usury -- Religious aspects -- Early works to 1800.
99841307,Reformation -- Austria -- Early works to 1800.
99850251,"Ferdinand -- II
99850252,"Ferdinand -- II
99852765,"Benoit
99844018,Faith -- Early works to 1800.
99844018,Christian life -- Early works to 1800.
99846934,Bible. -- O.T. -- Malachi -- Commentaries -- Early works to 1800.
99846934,Sermons
99841316,America -- Early accounts to 1600.
99852898,Viols -- Early works to 1800.
99837865,Love -- Early works to 1800.
99837865,Melancholy -- Early works to 1800.
99837814,Political ethics -- Early works to 1800.
99837814,Kings and rulers -- Duties -- Early works to 1800.
99837814,Utopias -- Early works to 1800.
99853554,Women -- Early works to 1800.
99837853,Astrology -- Early works to 1800.
99847804,Dance -- Religious aspects -- Early works to 1800.
99849466,"Fetherstone
99837816,Voyages and travels -- Early works to 1800.
99837816,Asia -- Description and travel -- Early works to 1800.
99855829,"Fian
99852767,Familists -- Early works to 1800.
99852768,"Parsons
99837821,Church of England. -- Controversial literature -- Anglican authors.
99850317,"Sermons
99856528,"Maihew
99836638,Bible. -- O.T. -- Genesis -- Commentaries.
99837857,Sainte Ligue (1576-1593) -- Controversial literature.
99837857,Europe -- History -- 1517-1648 -- Early works to 1800.
29900242,Devotional literature -- Early works to 1800.
29900242,Religious poetry
99837810,Lord's prayer -- Early works to 1800.
99837810,Theology
99837895,Jews -- Restoration -- Early works to 1800.
23728596,Catholic Church -- Controversial literature.
23728596,Church of England -- Apologetic works.
99850256,"Finch of Fordwich
99843120,Astrology -- Early works to 1800.
99843120,Ephemerides -- Early works to 1800.
99836415,Bible. -- O.T. -- Exodus -- Commentaries.
99836415,Bible. -- O.T. -- Leviticus -- Commentaries.
99841328,Medicine -- Early works to 1800.
99837881,Clergy -- England -- Early works to 1800.
99837881,England -- Economic conditions.
99853900,"Sermons
99849489,Prayer -- Early works to 1800.
99841330,"Beaufort
99845347,"Sermons
99841343,"Luther
99845357,"Prisoners' writings
99836230,Sin -- Early works to 1800.
99837313,Lord's prayer -- Commentaries.
99841341,"Sermons
99841351,"Sermons
99843406,"Featley
99854878,"Milner
99837912,"White
99837914,Catholic Church -- Apologetic works.
99837914,Catholics -- Early works to 1800.
23044544,Catholic Church -- Doctrines.
23044544,Faith -- Catholic authors.
99853562,"White
99847582,"Dialogues
99852769,"Sermons
99845972,"Sermons
99852960,Master and servant -- Early works to 1800.
99837948,Pirates -- Sermons -- Early works to 1800.
99837948,Sermons
99850294,Food supply -- Great Britain -- Sermons -- Early works to 1800.
99836411,"Sermons
99841344,"Drake
99852035,"Epigrams
99849114,"Epigrams
99844060,Ten commandments -- Commentaries -- Early works to 1800.
34382733,Sheriffs -- Great Britain.
34382733,Bailiffs -- Great Britain.
34382733,Constables -- Great Britain.
34382733,Coroners -- Great Britain.
99847507,Agriculture -- Early works to 1800.
99857264,Agriculture -- Early works to 1800.
20178045,Church of England -- Sermons.
20178045,Sermons
99847511,Agriculture -- England -- Early works to 1800.
99847511,Landlord and tenant -- England -- Early works to 1800.
99838036,"Bacon
99838059,"Andrewes
99853939,Sermons -- 15th century.
99853346,"Nieuport
99855444,"Spain -- History -- Philip II
99850325,Devotional literature -- Early works to 1800.
99855862,Prayer-books -- Early works to 1800.
99838070,Earthquakes -- Religious aspects -- Early works to 1800.
99838070,Omens -- Early works to 1800.
99856974,"Lambe
99851049,Terceira (Azores) -- History -- Early works to 1800.
99838072,Conduct of life -- Early works to 1900.
99838072,Spiritual life -- Modern period
99851225,"Lambe
99838073,"Spiritual life -- Middle Ages
99838076,Letter writing -- Early works to 1800.
33142627,"Ballads
99854879,Apparitions -- Early works to 1800.
99854879,Thunderstorms -- England -- Early works to 1800.
99851226,Christian life -- Early works to 1800.
99841345,"Richard -- III
99838082,Soviet Union -- Early works to 1800.
99852832,Jesus Christ -- Poetry.
99852833,Fatih -- Early works to 1800.
99841335,Man (Christian theology) -- Poetry.
99850328,Consolation -- Early works to 1800.
99838169,Bible. -- O.T. -- Psalms -- Commentaries.
99838228,"James -- I
99853233,Great Britain -- Kings and rulers -- Early works to 1800.
99851228,Spain -- Foreign relations -- France -- Early works to 1800.
99841356,Italian language -- Textbooks for foreign speakers -- English.
99841356,Italian language -- Conversation and phrase books -- English.
99841356,Proverbs.
99838142,Italian language -- Dictionaries -- English.
99836229,"Sermons
99838146,Rome -- History -- Early works to 1800.
99838148,"Flower
99848351,"Proby
99840171,"Essex
99842707,Allegiance -- Religious aspects -- Early works to 1800.
99853235,"Chillingworth
99857183,"State
99838161,"Foster
99838238,Surveying -- Early works to 1800.
99838238,Agriculture -- Early works to 1800.
99856517,Lenten sermons -- Early works to 1800.
99856517,Sermons
23060716,"Leipzig
99850089,"Sermons
99851705,"Sermons
99853236,Christian life -- Early works to 1800.
99856049,"Sermons
99853238,"Sermons
99838241,Justification -- Early works to 1800.
99838242,Church of Scotland.
99838243,"Forbes
99849550,Reformed Church -- Controversial literature -- Early works to 1800.
99838198,Catholic Church -- Controversial literature.
99838198,Love of the soule.
99848915,Anecdotes -- Early works to 1800.
99848915,Aphorisms and apothegms -- Early works to 1800.
24478633,"Charles -- I
99838215,"Forbes
99838207,"Warbeck
99841360,"Devonshire
99849490,Conduct of life -- Early works to 1800.
99856219,Lute music -- Early works to 1800.
99856219,Viole da gamba music (viole da gamba (2)) -- Early works to 1800.
99856219,Songs with lute -- Early works to 1800.
99856219,Madrigals -- Early works to 1800.
99855340,"Romances
99848970,"Romances
99840175,England -- Foreign relations -- Scotland -- Early works to 1800.
99840175,Scotland -- Foreign relations -- England -- Early works to 1800.
99848356,Longitude -- Early works to 1800.
99838308,Political science -- Early works to 1800.
99854612,"Parsons
99857095,"Sermons
99838239,Law -- England -- Early works to 1800.
99838321,Law -- England -- Early works to 1800.
99835836,"Laud
99850480,Peace -- Religious aspects -- Early works to 1800.
20175836,Church of England -- Bishops -- Temporal power.
20175836,Church of England -- Liturgy.
99838255,Dialing -- Early works to 1800.
99838255,Quadrant -- Early works to 1800.
99838315,"Sermons
99838259,"Medicine
99855904,"Sermons
99856518,God -- Proof -- Early works to 1800.
99856518,Apologetics -- Early works to 1800.
99838306,"Cross
99856516,Venice (Italy) -- History -- Early works to 1800.
99848979,"Harvey
33143394,Lawyers -- Humor.
33143394,Clergy -- Humor.
33143394,Broadsides -- London (England) -- 17th century.
99838270,"L'Écluse
99854892,"Hamilton
99839728,"Henry Frederick
99841371,Voyages and travels -- Early works to 1800.
99841371,Northwest Passage -- Early works to 1800.
99852165,Salvation -- Early works to 1800.
99848670,"Catechisms
99838323,Catholic Church -- Controversial literature.
99851238,Catholic Church -- Controversial literature.
99844308,"Sermons
99856244,Dueling -- Early works to 1800.
99850095,Prayer -- Early works to 1800.
99856119,"France -- History -- Henry III
99838330,"France -- History -- Louis XIII
99857515,"France -- History -- Henry III
99838335,Catholic Church -- Controversial literature.
99838335,Mass -- Controversial literature.
99848079,"Guise
99844260,France -- Kings and rulers -- Early works to 1800.
99844260,France -- History -- Early works to 1800.
99856443,France -- History -- 16th century -- Early works to 1800.
99855182,"France -- History -- henry IV
99851240,"France -- History -- Wars of the Huguenots
99838366,Huguenots -- France -- Early works to 1800.
99836182,"Mythology
99849553,Huguenots -- France -- Early works to 1800.
99838385,"Elizabeth
99847921,"Anjou
99845364,"Francis
24117645,"Francis
99838391,Tree of life -- Early works to 1800.
99838391,Man (Theology) -- Early works to 1800.
99836190,"Essex
33143174,"Overbury
99852504,"Overbury
99847930,Protestantism -- Controversial literature -- Early works to 1800.
99853921,Church of England -- Controversial literature.
99853921,Church -- Early works to 1800.
99853921,Excommunication -- Early works to 1800.
99853924,Church of Scotland -- Controversial literature.
99853924,Catholic Church -- Controversial literature.
99853926,Rhetoric -- Early works to 1800.
99841363,Jesus Christ -- Poetry -- Early works to 1800.
99838393,Logic -- Early works to 1800.
99838393,Common law -- Early works to 1800.
99838395,Jesuits -- Controversial literature -- Early works to 1800.
99856051,"Sermons
99854615,Bohemia (Czech Republic) -- History -- 1618-1848 -- Early works to 1800.
99852506,English drama -- 17th century -- Early works to 1800.
99841379,"Epigrams
99838436,"Guise
33143383,"Ballads
99841383,"More
99841382,"Rastell
99845372,"Rastell
99836252,"Sermons
99838434,Military art and science -- Early works to 1800.
99841393,Christian ethics -- Early works to 1800.
99838524,Law -- Great Britain -- Study and teaching -- Early works to 1800.
99838536,"Rome -- History -- Republic
99851760,Prophecies -- Early works to 1800.
99851760,Astrology -- Early works to 1800.
99838474,"Parsons
99838537,"Sermons
99838540,"Sermons
99855835,Bible -- English -- Versions -- Early works to 1800.
99899113,"Martin
99847966,"Sermons
99838455,Meteorology -- Early works to 1800.
99838455,Meteors -- Early works to 1800.
99838455,Metals -- Early works to 1800.
99838521,Bible. -- N.T. -- Revelation -- Commentaries -- Early works to 1800.
99847973,"Bristow
99838499,"Bristow
99838538,"Sermons
99848042,"Sermons
99852900,"Sermons
99838504,"Stapleton
99838509,"Allen
99838511,"Mansell
99838584,"David
99856435,Crusades -- Early works to 1800.
24133576,"Bible. -- N.T. -- Corinthians
99838586,Plague -- Great Britain -- Sermons.
99838588,"Clifton
99842472,Consolation -- Early works to 1800.
99841388,Latin language -- Readers.
99854901,Toadyism -- Early works to 1800.
99854901,Courts and courtiers -- Early works to 1800.
99838523,"Henry -- VIII
29715564,Perjury -- England.
29715564,Broadsides -- London (England) -- 16th century.
99856982,"Elderton
99856434,Hungary -- History -- 1526-1683 -- Early works to 1800.
99841396,Education of princes -- Early works to 1800.
99841396,Government consultants -- Early works to 1800.
99845469,Catholic Church -- Clergy -- England.
99845469,Catholic Church -- Controversial literature -- Early works to 1800.
99845469,Catholic Church -- Doctrines -- Early works to 1800.
99852901,Great Britain -- Foreign relations -- Spain -- Early works to 1800.
99852901,Great Britain -- History -- Elizabeth
99856987,"Felton
99838541,Heraldry -- Early works to 1800.
99838541,Emblem books
99845148,Consolation -- Early works to 1800.
99850821,"Sermons
99856056,Marriage -- Early works to 1800.
99838544,"Norfolk
99838546,"Wither
99852424,Catholic Church -- Clergy -- Controversial literature.
99838565,National characteristics -- Early works to 1800.
99838565,Great Britain -- Description and travel -- 1601-1700.
99838566,Aphorisms and apothegms.
99838596,Letter writing -- Early works to 1800.
99856264,"Tyrone
99838601,"Warbeck
99841395,Great Britain -- Religion -- 17th century -- Controversial literature.
99838569,Wine -- Early works to 1800.
99838569,Beer -- Early works to 1800.
99838569,Ale -- Early works to 1800.
99838569,Tobacco -- Early works to 1800.
99838569,Smoking -- Great Britain -- Early works to 1800.
99841401,Discoveries in geography -- Early works to 1800.
99841401,America -- Early accounts to 1600.
99841401,America -- Discovery and exploration
99849053,"Epigrams
29900252,Synod of Gap.
29900252,Councils and synods.
29900252,Broadsides -- London (England) -- 17th century.
29900394,Synod of Gap.
29900394,Councils and synods.
29900394,Broadsides -- London (England) -- 17th century.
24135992,Thieves -- Fiction.
24135992,Rogues and vagabonds -- Fiction.
99854915,Maritime law -- France.
99854915,Navigation -- Early works to 1800.
99850122,Tobacco -- Early works to 1800.
99850122,Tobacco -- Therapeutic use -- Early works to 1800.
99841419,Tobacco -- Early works to 1800.
99841419,Tobacco -- Therapeutic use -- Early works to 1800.
99836343,Life (Biology) -- Early works to 1800.
99836343,Longevity -- Early works to 1800.
99836343,Death (Biology) -- Early works to 1800.
99850124,Gardening -- Early works to 1800.
99838582,Judgment Day -- Early works to 1800.
99836345,Life (Biology) -- Early works to 1800.
99836345,Longevity -- Early works to 1800.
99836345,Death (Biology) -- Early works to 1800.
99838585,"Hales
99838630,"Henry -- VIII
99838618,"Joye
99838611,Lord's Supper -- Early works to 1800.
24137498,Lord's Supper -- Early works to 1800.
29641393,"Gardiner
99838617,"Gardiner
99846282,"Frith
99838621,"Gunpowder Plot
99845480,Latin language -- Semantics -- Early works to 1800.
99842609,"Henry -- VII
99841427,"Antonius
99841429,Military art and science -- Early works to 1800.
99853386,"Norfolk
99841430,"Elizabeth -- I
99838629,Catholic Church -- Controversial literature.
99838670,Insanity -- Early works to 1800.
99836346,Science -- Methodology -- Early works to 1800.
99836346,Logic -- Early works to 1800.
99841436,Temperance -- Early works to 1800.
99838639,"Spiritual life -- Modern period
99852352,Antwerp (Belgium) -- History -- Early works to 1800.
99852352,Netherlands -- History -- Wars of Independence
99838642,"Stock
99841446,"Sermons
99838646,"Winter
99838647,"Sermons
99838651,"Sermons
99835846,"Parker
99838674,Catholic Church -- Controversial literature.
99838674,Transubstantiation -- Early works to 1800.
99838681,"Sermons
99838676,Wives -- Sermons -- Early works to 1800.
99838676,Sermons
99838728,Catholic Church -- Controversial literature.
99838728,Meditations.
99838729,Funeral sermons.
99855690,"Sermons
99838680,"Balmford
99838734,Marriage -- Religious aspects -- Early works to 1800.
99838734,Sermons
99838682,"Balmford
99852478,"Featley
99838747,"Sermons
99838684,"Spiritual life -- Modern period
99838748,Contentment -- Early works to 1800.
99842617,Natural history -- Pre-Linnean works.
99838749,"Sermons
39960723,"Bible. -- O.T. -- Psalms XIII
99838707,Military art and science -- Early works to 1800.
99838707,Occupations -- Early works to 1900.
99838709,"Gaufridi
99838712,"Gebhard
99838755,Decoration and ornament -- Early works to 1800.
99838755,Geometrical drawing -- Early works to 1800.
99838755,Annealing of glass -- Early works to 1800.
99838755,Glass construction -- Early works to 1800.
99836225,"Sermons
99853160,Geomagnetism -- Early works to 1800.
99838775,Church discipline -- Early works to 1800.
99838775,Ecclesiastical law -- Switzerland -- Geneva -- Early works to 1800.
99838775,Church and state -- Switzerland -- Early works to 1800.
33143156,Conjoined twins -- Early works to 1800.
33143156,Abnormalities
99838818,"Geninges
22123619,"Bible. -- O.T. -- Psalms -- Paraphrases
99838796,Fisheries -- Great Britain -- Early works to 1800.
99844290,Prisoners of war -- Early works to 1800.
99844290,Turkey -- History -- 1453-1683.
99857317,Botany -- Pre-Linnean works -- Early works to 1800.
99857317,Botany
24138521,Ten commandments.
24138521,Christian life.
99838798,"Theology
99850490,"Bacon
99838831,Meditations -- Early works to 1800.
99838831,Prayers -- Early works to 1800.
99854183,"Spira
99849068,Meditations -- Early works to 1800.
99849068,Devotional exercises -- Early works to 1800.
22150912,"Thirty Years' War
99838819,Medicine -- Early works to 1800.
99838819,Medicine -- Formulae
99846288,"Medicine
99838855,Medicine -- Early works to 1800.
99838855,Medicine -- Formulae
99850467,Second Advent -- Early works to 1800.
99851727,Taxation -- Early works to 1800.
29701171,Bible -- Use.
29701171,Christian life.
29701171,Broadsides -- London (England) -- 16th century.
99836354,Alchemy -- Early works to 1800.
99836354,Technology -- Early works to 1800.
99837713,Conduct of life -- Early works to 1900.
99837713,Parent and child -- Early works to 1800.
99838824,"Madrigals
99853973,"Sermons
99850055,"Bacon
99841457,Women -- Early works to 1800.
99849254,"Catechisms
99853483,"Ballads
99838753,"Sermons
99847428,"Sermons
23063224,"Bible. -- N.T. -- Corinthians
99838884,"Sermons
99838847,Catholic Church -- Controversial literature.
99856951,"Norton
99841416,Witchcraft -- Early works to 1800.
99838898,Witchcraft -- Early works to 1800.
99849259,Bible. -- O.T. -- EcclesiastesI-V -- Commentaries -- Early works to 1800.
99849259,Sermons
99844293,"Sermons
99853660,"Greenwood
99849515,Brownists -- Early works to 1800.
99849517,Christian life -- Anglican authors -- Early works to 1800.
99844294,French literature -- Translations into English -- Early works to 1800.
99844294,Italian literature -- Translations into English -- Early works to 1800.
99844294,English poetry -- Early modern
24498611,"Gustaf -- II Adolf
99853583,Jesus Christ -- Divinity -- Early works to 1800.
99853583,Trinity -- Early works to 1800.
99836356,"Weston
99841458,Early maps -- Early works to 1800.
99841458,Northwest Passage -- Early works to 1800.
99838911,Consolation.
99838868,"Gardiner
99838913,Election (Theology) -- Early works to 1800.
99838913,Reprobation -- Early works to 1800.
99838920,Great Britain -- History -- To 440 -- Early works to 1800.
99838880,Church of Scotland -- Controversial literature -- Early works to 1800.
99849260,"Sermons
99838885,Emblems -- Early works to 1800.
99853584,"Sermons
99838890,"Great Britain -- History -- Charles I
99838240,Law -- England -- Early works to 1800.
99850476,Mineral waters -- England -- Newnham Regis -- Early works to 1800.
99838953,"Wallenstein
99845222,"Henry -- VIII
99841466,"Satire
24145368,"Epigrams
99841467,Women -- Controversial literature.
99841467,Marriage -- Early works to 1800.
99855714,Plague -- England -- London -- Early works to 1800.
99838915,Bishops -- England -- Biography.
99838915,Great Britain -- Church history -- Early works to 1800.
99841412,Bishops -- England.
99841412,Great Britain -- Church history -- Early works to 1800.
99853901,Homing pigeons -- England -- Early works to 1800.
99853901,Communication -- England -- Early works to 1800.
99853901,Beacons -- England -- Early works to 1800.
99838933,"Great Britain -- History -- Tudors
99842610,"Great Britain -- History -- Tudors
99853587,Church of England -- Clergy -- Early works to 1800.
99850058,Eye -- Diseases -- Early works to 1800.
99838949,Rome -- Civilization -- Early works to 1800.
99850131,Eye -- Diseases -- Early works to 1800.
99851891,"Manuel -- I
99845151,Medicine -- Early works to 1800.
99845151,Plague -- Early works to 1800.
99845151,Pediatrics -- Early works to 1800.
99857512,"Bayezid -- I
99838954,"Sermons
99838956,"Bayezid -- II
99854949,"Sanders
99844283,Earthquakes -- England.
99844283,Earthquakes -- Early works to 1800.
99836357,Pepper -- Early works to 1800.
99836357,Peppers -- Early works to 1800.
99836357,Medicine -- Formulae
99841497,"Elizabeth -- I
99839064,Bible. -- O.T. -- Judges XIX-XX -- Meditations.
99839081,Bible. -- N.T. -- 1 Peter II -- Sermons.
99838982,"Ludovico Sforza
99852609,Inquisition -- Spain -- Early works to 1800.
99838987,Philippines -- Description and travel -- Early works to 1800.
99838987,Latin America -- Description and travel -- Early works to 1800.
99838987,China -- Description and travel -- To 1900.
24145872,Travel.
24145872,Voyages and travels -- Poetry.
24507671,"Clarke
99853844,"Barnes
99853489,"Robinson
99852787,"Sawyer
99853490,"Ballads
99853699,"Ballads
99839020,Catholic Church -- Controversial literature.
99839020,Government
99853491,Nature -- Religious aspects -- Christianity -- Early works to 1800.
99838992,Fall of man -- Early works to 1800.
99839002,Catholic Church -- Controversial literature.
99839019,"Sermons
99852789,Prayers -- Early works to 1800.
99853174,Posture in worship -- Early works to 1800.
99853174,Church vestments -- Early works to 1800.
29700936,"Mary
99839097,"Sermons
99854153,"James -- I
99853176,"James -- I
99841490,"Robert
99841486,Cape Breton Island (N.S.) -- Early works to 1800.
99840193,Comets -- 1618. -- Early works to 1800.
99855722,"Sermons
99839085,"Sermons
99839086,"Sermons
99841482,Women -- Humor.
29689239,Jesus Christ -- Trial.
29689239,Broadsides -- London (England) -- 16th century.
99856055,Jesuits -- Controversial literature -- Early works to 1800.
99841483,"Lodge
99841495,Women -- Controversial literature.
99841495,Women -- Poetry.
99899035,Theater -- England -- Moral and ethical aspects -- Early works to 1800.
99899035,Poetry -- Moral and ethical aspects -- Early works to 1800.
